model,rebalance_number,decision_date,effective_start_date,segment_end_date,n_obs_total_segment,n_obs_regression,min_obs_pass,alpha,beta_mkt_rf,beta_smb,beta_hml,factor_exposure_entropy,factor_exposure_entropy_normalized,r_squared
EWMA,15,2025-03-06,2025-03-07,2025-04-04,21,21,True,-8.299811450778834e-05,0.40888547436887196,-0.0950451308287452,0.1629080183397456,0.9218934808430514,0.8391436090349023,0.9635866681126628
EWMA,16,2025-04-04,2025-04-07,2025-05-06,21,21,True,-0.00011804793906186568,0.2772669639648084,0.29398156845017537,0.057640429274972406,0.9355771571430722,0.8515990279676451,0.9073416616078219
EWMA,17,2025-05-06,2025-05-07,2025-06-05,21,21,True,-6.425613083436896e-06,0.19197363634888973,0.026350304167165387,0.09439830183299987,0.8695602287555124,0.7915078301278734,0.737576218869227
EWMA,18,2025-06-05,2025-06-06,2025-07-08,21,21,True,3.098978388344201e-06,0.19028763502407953,0.006236886844277718,0.07611127479126863,0.6936055505038785,0.6313469798747321,0.5374037793123345
EWMA,19,2025-07-08,2025-07-09,2025-08-06,21,21,True,0.00013955426442109164,0.2062463867771687,0.11303058114721609,0.08653004038016068,1.0295263746043042,0.9371152910117535,0.7121789221607666
EWMA,20,2025-08-06,2025-08-07,2025-09-05,21,21,True,0.00010181422713692899,0.3151797708501892,0.1319698143329491,0.009799437578736176,0.6972878142621376,0.6346987207902859,0.8945471270988568
EWMA,21,2025-09-05,2025-09-08,2025-10-06,21,21,True,0.0006087061100298377,0.33007040358999534,0.07529978008208917,-0.018224022510492002,0.6367917181148284,0.5796328010192163,0.630000983119348
EWMA,22,2025-10-06,2025-10-07,2025-11-05,21,21,True,-0.00022084528004929019,0.4504731979833373,0.11686331038024607,0.04500562001098096,0.7338027826375835,0.6679360773646552,0.8365203904801337
EWMA,23,2025-11-05,2025-11-06,2025-12-08,21,21,True,-0.00014657331658471864,0.4940650446893094,0.01945935243138357,0.16092619861532567,0.6721954147663558,0.6118586344790339,0.9345975362638271
EWMA,24,2025-12-08,2025-12-09,2025-12-31,16,16,True,-2.5437220611008445e-05,0.6031600724370046,-0.058676746011146814,0.18796286521979633,0.7615968046129955,0.6932352864324035,0.9378607794110513
XGBOOST,1,2023-12-28,2023-12-29,2024-01-30,21,21,True,-0.0004056132953335456,0.4067128463288429,-0.01232039204623141,0.07039227906724577,0.5254265521374453,0.4782638584667938,0.7883647130541223
XGBOOST,2,2024-01-30,2024-01-31,2024-02-29,21,21,True,-0.000241252143803791,0.3384978711593834,0.09272744131478534,0.058634931244420777,0.8245615788447825,0.7505482938338788,0.8240511110007732
XGBOOST,3,2024-02-29,2024-03-01,2024-04-01,21,21,True,0.0005757826795565039,0.4006371609708252,0.11002131894180053,0.030817943409723974,0.7098231627121513,0.6461088866689243,0.8223258738354067
XGBOOST,4,2024-04-01,2024-04-02,2024-04-30,21,21,True,-7.599793619280702e-05,0.41582428918922193,0.12882690528430898,0.16073434561847288,0.9590803668530838,0.8729925713973344,0.9056970751511961
XGBOOST,5,2024-04-30,2024-05-01,2024-05-30,21,21,True,-0.0002565372061260979,0.5791551263456685,0.11788087514660489,0.14977716849143266,0.8407149891405232,0.7652517615288598,0.9414926424488941
XGBOOST,6,2024-05-30,2024-05-31,2024-07-01,21,21,True,-0.0002578095004088246,0.4410654672648465,0.05814500271763258,0.0333892558030855,0.5715902078843722,0.5202838287721441,0.5631912209852967
XGBOOST,7,2024-07-01,2024-07-02,2024-07-31,21,21,True,8.285578748817397e-05,0.49014248930640175,0.04825577894745105,0.09374662617903096,0.6766863528860886,0.6159464625199684,0.8525851100485011
XGBOOST,8,2024-07-31,2024-08-01,2024-08-29,21,21,True,0.00033462921105919716,0.43014594492917596,0.03608579936904808,0.06498520355808741,0.6105973766611541,0.5557896839124246,0.9468392852753543
XGBOOST,9,2024-08-29,2024-08-30,2024-09-30,21,21,True,9.139329378188945e-06,0.417157961865036,0.07687188005103866,0.06975624023403706,0.7531037268691702,0.6855045539151824,0.8463928197619943
XGBOOST,10,2024-09-30,2024-10-01,2024-10-30,21,21,True,-0.0006012023050268472,0.28042710277245,0.049928218872343104,0.053502747419239084,0.7693203984088626,0.7002656044759334,0.533627013732735
XGBOOST,11,2024-10-30,2024-10-31,2024-12-02,21,21,True,-0.00014992849277602912,0.19338014513070087,0.12966942433773715,-0.11381085927280342,1.071693072398106,0.9754970734009911,0.6400670340530732
XGBOOST,12,2024-12-02,2024-12-03,2025-01-02,21,21,True,0.00014554141727678754,0.4867619390118369,0.19410668703398837,0.23046580361944544,1.012030030254912,0.9211894320623658,0.93346566370949
XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,21,21,True,0.0005948174338754595,0.38193110593311835,0.17815813592751795,0.09999763070808,0.955962268228089,0.870154355716373,0.8685668528780517
XGBOOST,14,2025-02-04,2025-02-05,2025-03-06,21,21,True,0.0009814858088364163,0.35219528647506243,0.133726446487998,0.03893904253188984,0.8090567442693605,0.7364351852009696,0.8558354209594873
XGBOOST,15,2025-03-06,2025-03-07,2025-04-04,21,21,True,-8.967100248269122e-05,0.36524353410191185,-0.09388081145049422,0.15548426883233468,0.9439873356328049,0.859254302331933,0.9587845230085824
XGBOOST,16,2025-04-04,2025-04-07,2025-05-06,21,21,True,1.797562488474567e-05,0.13338749100319278,0.12489420588824753,0.014943846466764544,0.8668364557226758,0.7890285450689571,0.8847849557589158
XGBOOST,17,2025-05-06,2025-05-07,2025-06-05,21,21,True,6.1858176828414e-05,0.23159454477125963,0.025910102731883513,0.10896455149065273,0.8379700102566942,0.7627531740725362,0.7049037106430445
XGBOOST,18,2025-06-05,2025-06-06,2025-07-08,21,21,True,6.8027370453320705e-06,0.23442032736133042,0.0045933321322473,0.08457740437429154,0.6446408270286148,0.5867773678466112,0.6061451736869914
XGBOOST,19,2025-07-08,2025-07-09,2025-08-06,21,21,True,0.0001769582331915396,0.2581261457872865,0.11717429578277874,0.10585955255264731,1.011185530433686,0.9204207351982067,0.7245796791096702
XGBOOST,20,2025-08-06,2025-08-07,2025-09-05,21,21,True,0.00013366156876468566,0.23203331718535547,0.10703068463918239,0.0019160530084782763,0.6547746540501879,0.5960015747174979,0.8529434061958592
XGBOOST,21,2025-09-05,2025-09-08,2025-10-06,21,21,True,0.0006002243880990443,0.3139417315845915,0.06968181631741197,-0.0028390501190428984,0.5138071959069159,0.46768746463761507,0.5581836198920367
XGBOOST,22,2025-10-06,2025-10-07,2025-11-05,21,21,True,-0.00020761497291000802,0.32052329122926343,0.10090582161590128,0.04865085121141473,0.8261584277449869,0.7520018083418407,0.7907239555944282
XGBOOST,23,2025-11-05,2025-11-06,2025-12-08,21,21,True,-9.791267646494437e-05,0.3806952161721804,0.00996973372429571,0.14319568230686414,0.6684261997869273,0.6084277471511685,0.9011219580656673
XGBOOST,24,2025-12-08,2025-12-09,2025-12-31,16,16,True,-5.2585496545910846e-05,0.5367301267033499,-0.059570682674060176,0.17954038697671132,0.7906650734968854,0.7196943650206564,0.9258665045113351
